"intervention","space","time","costs"
"cubeclinicfcube","North","9",1000583.54
"cubeclinicfcube","North","10",994289.86
"cubeclinicfcube","South","1",458063.27
"cubeclinicfcube","South","2",441603.66
"cubeclinicfcube","South","3",492201.94
"cubeclinicfcube","South","4",1060794.29
"cubeclinicfcube","South","5",1075411.61
"cubeclinicfcube","South","6",1114868.68
"cubeclinicfcube","South","7",1104917.67
"cubeclinicfcube","South","8",1153607.09
"cubeclinicfcube","South","9",1159574.44
"cubeclinicfcube","South","10",1149899.79
"cubeclinicfcube","Cities","1",152990.94
"cubeclinicfcube","Cities","2",143822.98
"cubeclinicfcube","Cities","3",173499.29
"cubeclinicfcube","Cities","4",503007.65
"cubeclinicfcube","Cities","5",511940.53
"cubeclinicfcube","Cities","6",535296.29
"cubeclinicfcube","Cities","7",530100.35
"cubeclinicfcube","Cities","8",558889.74
"cubeclinicfcube","Cities","9",563008.71
"cubeclinicfcube","Cities","10",558135.58
"cubeclinicfcubefflour","North","1",447802.90
"cubeclinicfcubefflour","North","2",399377.18
"cubeclinicfcubefflour","North","3",494524.73
"cubeclinicfcubefflour","North","4",827297.84
"cubeclinicfcubefflour","North","5",860210.79
"cubeclinicfcubefflour","North","6",890522.77
"cubeclinicfcubefflour","North","7",866632.87
"cubeclinicfcubefflour","North","8",910521.18
"cubeclinicfcubefflour","North","9",930047.70
"cubeclinicfcubefflour","North","10",926037.32
"cubeclinicfcubefflour","South","1",625336.27
"cubeclinicfcubefflour","South","2",551967.66
"cubeclinicfcubefflour","South","3",676186.94
"cubeclinicfcubefflour","South","4",1032936.75
"cubeclinicfcubefflour","South","5",1076312.51
"cubeclinicfcubefflour","South","6",1104733.42
"cubeclinicfcubefflour","South","7",1069113.36
"cubeclinicfcubefflour","South","8",1115108.42
"cubeclinicfcubefflour","South","9",1141360.01
"cubeclinicfcubefflour","South","10",1137340.03
"cubeclinicfcubefflour","Cities","1",327867.94
"cubeclinicfcubefflour","Cities","2",259203.98
"cubeclinicfcubefflour","Cities","3",365848.29
"cubeclinicfcubefflour","Cities","4",562861.76
"cubeclinicfcubefflour","Cities","5",603940.78
"cubeclinicfcubefflour","Cities","6",617859.87
"cubeclinicfcubefflour","Cities","7",587950.27
"cubeclinicfcubefflour","Cities","8",616066.37
"cubeclinicfcubefflour","Cities","9",643553.50
"cubeclinicfcubefflour","Cities","10",646774.05
"cubeclinicfflour","North","1",447802.90
"cubeclinicfflour","North","2",399377.18
"cubeclinicfflour","North","3",494524.73
"cubeclinicfflour","North","4",827297.84
"cubeclinicfflour","North","5",860210.79
"cubeclinicfflour","North","6",890522.77
"cubeclinicfflour","North","7",866632.87
"cubeclinicfflour","North","8",910521.18
"cubeclinicfflour","North","9",930047.70
"cubeclinicfflour","North","10",926037.32
"cubeclinicfflour","South","1",625336.27
"cubeclinicfflour","South","2",551967.66
"cubeclinicfflour","South","3",676186.94
"cubeclinicfflour","South","4",1032936.75
"cubeclinicfflour","South","5",1076312.51
"cubeclinicfflour","South","6",1104733.42
"cubeclinicfflour","South","7",1069113.36
"cubeclinicfflour","South","8",1115108.42
"cubeclinicfflour","South","9",1141360.01
"cubeclinicfflour","South","10",1137340.03
"cubeclinicfflour","Cities","1",327867.94
"cubeclinicfflour","Cities","2",259203.98
"cubeclinicfflour","Cities","3",365848.29
"cubeclinicfflour","Cities","4",562861.76
"cubeclinicfflour","Cities","5",603940.78
"cubeclinicfflour","Cities","6",617859.87
"cubeclinicfflour","Cities","7",587950.27
"cubeclinicfflour","Cities","8",616066.37
"cubeclinicfflour","Cities","9",643553.50
"cubeclinicfflour","Cities","10",646774.05
"cubecliniczflour","North","1",458822.74
"cubecliniczflour","North","2",410671.28
"cubecliniczflour","North","3",529587.49
"cubecliniczflour","North","4",863210.21
"cubecliniczflour","North","5",896982.85
"cubecliniczflour","North","6",928164.92
"cubecliniczflour","North","7",905155.62
"cubecliniczflour","North","8",949935.07
"cubecliniczflour","North","9",970363.04
"cubecliniczflour","North","10",967264.58
"cubecliniczflour","South","1",642762.90
"cubecliniczflour","South","2",569826.95
"cubecliniczflour","South","3",731633.93
"cubecliniczflour","South","4",1089727.21
"cubecliniczflour","South","5",1134462.96
"cubecliniczflour","South","6",1164259.61
"cubecliniczflour","South","7",1130031.84
"cubecliniczflour","South","8",1177436.75
"cubecliniczflour","South","9",1205113.37
"cubecliniczflour","South","10",1202535.93
"cubecliniczflour","Cities","1",346086.41
"cubecliniczflour","Cities","2",277874.88
"cubecliniczflour","Cities","3",423815.08
"cubecliniczflour","Cities","4",622233.99
"cubecliniczflour","Cities","5",664734.72
"cubecliniczflour","Cities","6",680092.06
"cubecliniczflour","Cities","7",651637.91
"cubecliniczflour","Cities","8",681227.17
"cubecliniczflour","Cities","9",710204.81
"cubecliniczflour","Cities","10",714932.99
"cubecliniczflourfcube","North","1",458822.74
"cubecliniczflourfcube","North","2",410671.28
"cubecliniczflourfcube","North","3",529587.49
"cubecliniczflourfcube","North","4",1036505.08
"cubecliniczflourfcube","North","5",1074329.38
"cubecliniczflourfcube","North","6",1109603.66
"cubecliniczflourfcube","North","7",1090727.36
"cubecliniczflourfcube","North","8",1139680.09
"cubecliniczflourfcube","North","9",1164319.89
"cubecliniczflourfcube","North","10",1165470.12
"cubecliniczflourfcube","South","1",642762.90
"cubecliniczflourfcube","South","2",569826.95
"cubecliniczflourfcube","South","3",731633.93
"cubecliniczflourfcube","South","4",1280382.75
"cubecliniczflourfcube","South","5",1329576.06
"cubecliniczflourfcube","South","6",1363874.87
"cubecliniczflourfcube","South","7",1334194.15
"cubecliniczflourfcube","South","8",1386190.42
"cubecliniczflourfcube","South","9",1418500.80
"cubecliniczflourfcube","South","10",1420597.69
"cubecliniczflourfcube","Cities","1",346086.41
"cubecliniczflourfcube","Cities","2",277874.88
"cubecliniczflourfcube","Cities","3",423815.08
"cubecliniczflourfcube","Cities","4",732577.88
"cubecliniczflourfcube","Cities","5",777658.46
"cubecliniczflourfcube","Cities","6",795621.48
"cubecliniczflourfcube","Cities","7",769798.99
"cubecliniczflourfcube","Cities","8",802045.55
"cubecliniczflourfcube","Cities","9",833705.02
"cubecliniczflourfcube","Cities","10",841138.51
"cubecliniczflourfcubefflour","North","1",466667.96
"cubecliniczflourfcubefflour","North","2",418711.24
"cubecliniczflourfcubefflour","North","3",554548.67
"cubecliniczflourfcubefflour","North","4",888776.39
"cubecliniczflourfcubefflour","North","5",923161.20
"cubecliniczflourfcubefflour","North","6",954962.68
"cubecliniczflourfcubefflour","North","7",932580.21
"cubecliniczflourfcubefflour","North","8",977994.00
"cubecliniczflourfcubefflour","North","9",999063.75
"cubecliniczflourfcubefflour","North","10",996614.47
"cubecliniczflourfcubefflour","South","1",655169.02
"cubecliniczflourfcubefflour","South","2",582541.03
"cubecliniczflourfcubefflour","South","3",771106.59
"cubecliniczflourfcubefflour","South","4",1130156.58
"cubecliniczflourfcubefflour","South","5",1175860.40
"cubecliniczflourfcubefflour","South","6",1206636.56
"cubecliniczflourfcubefflour","South","7",1173400.04
"cubecliniczflourfcubefflour","South","8",1221808.06
