"intervention","space","time","lives_saved"
"cubecliniczflourfflour","South","6",1064.42
"cubecliniczflourfflour","South","7",1068.64
"cubecliniczflourfflour","South","8",1070.86
"cubecliniczflourfflour","South","9",1074.08
"cubecliniczflourfflour","South","10",1075.68
"cubecliniczflourfflour","Cities","1",691.75
"cubecliniczflourfflour","Cities","2",711.82
"cubecliniczflourfflour","Cities","3",730.90
"cubecliniczflourfflour","Cities","4",749.97
"cubecliniczflourfflour","Cities","5",768.58
"cubecliniczflourfflour","Cities","6",786.19
"cubecliniczflourfflour","Cities","7",802.34
"cubecliniczflourfflour","Cities","8",818.49
"cubecliniczflourfflour","Cities","9",834.64
"cubecliniczflourfflour","Cities","10",847.33
"cubecliniczflourzcube","North","1",1261.18
"cubecliniczflourzcube","North","2",1269.86
"cubecliniczflourzcube","North","3",1279.84
"cubecliniczflourzcube","North","4",1292.58
"cubecliniczflourzcube","North","5",1310.80
"cubecliniczflourzcube","North","6",1330.90
"cubecliniczflourzcube","North","7",1353.74
"cubecliniczflourzcube","North","8",1377.46
"cubecliniczflourzcube","North","9",1403.92
"cubecliniczflourzcube","North","10",1432.13
"cubecliniczflourzcube","South","1",866.18
"cubecliniczflourzcube","South","2",870.01
"cubecliniczflourzcube","South","3",874.45
"cubecliniczflourzcube","South","4",879.88
"cubecliniczflourzcube","South","5",883.71
"cubecliniczflourzcube","South","6",887.54
"cubecliniczflourzcube","South","7",890.76
"cubecliniczflourzcube","South","8",893.59
"cubecliniczflourzcube","South","9",895.20
"cubecliniczflourzcube","South","10",897.42
"cubecliniczflourzcube","Cities","1",574.45
"cubecliniczflourzcube","Cities","2",591.52
"cubecliniczflourzcube","Cities","3",608.59
"cubecliniczflourzcube","Cities","4",625.20
"cubecliniczflourzcube","Cities","5",640.81
"cubecliniczflourzcube","Cities","6",656.42
"cubecliniczflourzcube","Cities","7",670.57
"cubecliniczflourzcube","Cities","8",684.72
"cubecliniczflourzcube","Cities","9",698.41
"cubecliniczflourzcube","Cities","10",711.10
"cubecliniczflourzcubefcube","North","1",1558.18
"cubecliniczflourzcubefcube","North","2",1568.86
"cubecliniczflourzcubefcube","North","3",1582.84
"cubecliniczflourzcubefcube","North","4",1601.58
"cubecliniczflourzcubefcube","North","5",1625.80
"cubecliniczflourzcubefcube","North","6",1650.90
"cubecliniczflourzcubefcube","North","7",1678.74
"cubecliniczflourzcubefcube","North","8",1709.46
"cubecliniczflourzcubefcube","North","9",1743.92
"cubecliniczflourzcubefcube","North","10",1780.13
"cubecliniczflourzcubefcube","South","1",1298.18
"cubecliniczflourzcubefcube","South","2",1304.01
"cubecliniczflourzcubefcube","South","3",1310.45
"cubecliniczflourzcubefcube","South","4",1318.88
"cubecliniczflourzcubefcube","South","5",1323.71
"cubecliniczflourzcubefcube","South","6",1328.54
"cubecliniczflourzcubefcube","South","7",1333.76
"cubecliniczflourzcubefcube","South","8",1337.59
"cubecliniczflourzcubefcube","South","9",1340.20
"cubecliniczflourzcubefcube","South","10",1342.42
"cubecliniczflourzcubefcube","Cities","1",757.45
"cubecliniczflourzcubefcube","Cities","2",779.52
"cubecliniczflourzcubefcube","Cities","3",801.59
"cubecliniczflourzcubefcube","Cities","4",822.20
"cubecliniczflourzcubefcube","Cities","5",840.81
"cubecliniczflourzcubefcube","Cities","6",860.42
"cubecliniczflourzcubefcube","Cities","7",879.57
"cubecliniczflourzcubefcube","Cities","8",896.72
