,intervention,space,time,opt_vals,opt_benefit,opt_costs
426,vasoilmaize,Cities,7,,,
427,vasoilmaize,Cities,8,,,
428,vasoilmaize,Cities,9,,,
429,vasoilmaize,Cities,10,,,
430,vasoilmaize,North,1,,,
431,vasoilmaize,North,2,,,
432,vasoilmaize,North,3,,,
433,vasoilmaize,North,4,,,
434,vasoilmaize,North,5,,,
435,vasoilmaize,North,6,,,
436,vasoilmaize,North,7,,,
437,vasoilmaize,North,8,,,
438,vasoilmaize,North,9,,,
439,vasoilmaize,North,10,,,
440,vasoilmaize,South,1,,,
441,vasoilmaize,South,2,,,
442,vasoilmaize,South,3,,,
443,vasoilmaize,South,4,,,
444,vasoilmaize,South,5,,,
445,vasoilmaize,South,6,,,
446,vasoilmaize,South,7,,,
447,vasoilmaize,South,8,,,
448,vasoilmaize,South,9,,,
449,vasoilmaize,South,10,,,
