,intervention,space,time,opt_vals,opt_benefit,opt_costs
348,vasoil,North,9,0,0.0,0.0
349,vasoil,North,10,0,0.0,0.0
350,vasoil,South,1,0,0.0,0.0
351,vasoil,South,2,0,0.0,0.0
352,vasoil,South,3,0,0.0,0.0
353,vasoil,South,4,0,0.0,0.0
354,vasoil,South,5,0,0.0,0.0
355,vasoil,South,6,0,0.0,0.0
356,vasoil,South,7,0,0.0,0.0
357,vasoil,South,8,0,0.0,0.0
358,vasoil,South,9,0,0.0,0.0
359,vasoil,South,10,0,0.0,0.0
360,vasoilcube,Cities,1,0,0.0,0.0
361,vasoilcube,Cities,2,0,0.0,0.0
362,vasoilcube,Cities,3,0,0.0,0.0
363,vasoilcube,Cities,4,0,0.0,0.0
364,vasoilcube,Cities,5,0,0.0,0.0
365,vasoilcube,Cities,6,0,0.0,0.0
366,vasoilcube,Cities,7,0,0.0,0.0
367,vasoilcube,Cities,8,0,0.0,0.0
368,vasoilcube,Cities,9,0,0.0,0.0
369,vasoilcube,Cities,10,0,0.0,0.0
370,vasoilcube,North,1,0,0.0,0.0
371,vasoilcube,North,2,0,0.0,0.0
372,vasoilcube,North,3,0,0.0,0.0
373,vasoilcube,North,4,0,0.0,0.0
374,vasoilcube,North,5,0,0.0,0.0
375,vasoilcube,North,6,0,0.0,0.0
376,vasoilcube,North,7,0,0.0,0.0
377,vasoilcube,North,8,0,0.0,0.0
378,vasoilcube,North,9,0,0.0,0.0
379,vasoilcube,North,10,0,0.0,0.0
380,vasoilcube,South,1,0,0.0,0.0
381,vasoilcube,South,2,0,0.0,0.0
382,vasoilcube,South,3,0,0.0,0.0
383,vasoilcube,South,4,0,0.0,0.0
384,vasoilcube,South,5,0,0.0,0.0
385,vasoilcube,South,6,0,0.0,0.0
386,vasoilcube,South,7,0,0.0,0.0
387,vasoilcube,South,8,0,0.0,0.0
388,vasoilcube,South,9,0,0.0,0.0
389,vasoilcube,South,10,0,0.0,0.0
390,vasoilcubemaize,Cities,1,0,0.0,0.0
391,vasoilcubemaize,Cities,2,0,0.0,0.0
392,vasoilcubemaize,Cities,3,0,0.0,0.0
393,vasoilcubemaize,Cities,4,0,0.0,0.0
394,vasoilcubemaize,Cities,5,0,0.0,0.0
395,vasoilcubemaize,Cities,6,0,0.0,0.0
396,vasoilcubemaize,Cities,7,0,0.0,0.0
397,vasoilcubemaize,Cities,8,0,0.0,0.0
398,vasoilcubemaize,Cities,9,0,0.0,0.0
399,vasoilcubemaize,Cities,10,0,0.0,0.0
400,vasoilcubemaize,North,1,0,0.0,0.0
401,vasoilcubemaize,North,2,0,0.0,0.0
402,vasoilcubemaize,North,3,0,0.0,0.0
403,vasoilcubemaize,North,4,0,0.0,0.0
404,vasoilcubemaize,North,5,0,0.0,0.0
405,vasoilcubemaize,North,6,0,0.0,0.0
406,vasoilcubemaize,North,7,0,0.0,0.0
407,vasoilcubemaize,North,8,0,0.0,0.0
408,vasoilcubemaize,North,9,0,0.0,0.0
409,vasoilcubemaize,North,10,0,0.0,0.0
410,vasoilcubemaize,South,1,0,0.0,0.0
411,vasoilcubemaize,South,2,0,0.0,0.0
412,vasoilcubemaize,South,3,0,0.0,0.0
413,vasoilcubemaize,South,4,0,0.0,0.0
414,vasoilcubemaize,South,5,0,0.0,0.0
415,vasoilcubemaize,South,6,0,0.0,0.0
416,vasoilcubemaize,South,7,0,0.0,0.0
417,vasoilcubemaize,South,8,0,0.0,0.0
418,vasoilcubemaize,South,9,0,0.0,0.0
419,vasoilcubemaize,South,10,0,0.0,0.0
420,vasoilmaize,Cities,1,1,357803.541163704,383165.204650744
421,vasoilmaize,Cities,2,1,370752.01797727,396062.142168568
422,vasoilmaize,Cities,3,1,378643.32948109,347658.905301407
423,vasoilmaize,Cities,4,1,388308.38090654,343572.901641367
424,vasoilmaize,Cities,5,0,0.0,0.0
425,vasoilmaize,Cities,6,1,401008.286099346,354535.016512246
426,vasoilmaize,Cities,7,1,406847.932224102,357951.67534488795
427,vasoilmaize,Cities,8,1,412398.584181074,362526.639012365
428,vasoilmaize,Cities,9,0,0.0,0.0
429,vasoilmaize,Cities,10,0,0.0,0.0
430,vasoilmaize,North,1,0,0.0,0.0
431,vasoilmaize,North,2,0,0.0,0.0
432,vasoilmaize,North,3,0,0.0,0.0
433,vasoilmaize,North,4,0,0.0,0.0
434,vasoilmaize,North,5,0,0.0,0.0
435,vasoilmaize,North,6,0,0.0,0.0
436,vasoilmaize,North,7,0,0.0,0.0
437,vasoilmaize,North,8,0,0.0,0.0
438,vasoilmaize,North,9,0,0.0,0.0
439,vasoilmaize,North,10,0,0.0,0.0
440,vasoilmaize,South,1,0,0.0,0.0
441,vasoilmaize,South,2,0,0.0,0.0
442,vasoilmaize,South,3,0,0.0,0.0
443,vasoilmaize,South,4,0,0.0,0.0
444,vasoilmaize,South,5,0,0.0,0.0
445,vasoilmaize,South,6,0,0.0,0.0
446,vasoilmaize,South,7,0,0.0,0.0
447,vasoilmaize,South,8,0,0.0,0.0
448,vasoilmaize,South,9,0,0.0,0.0
449,vasoilmaize,South,10,0,0.0,0.0
