intervention,region,time,effective_coverage,above_ul,costs,pop
current fortification 2 + vas,Hauts Bassins,2024,260282.62663817886,8777.412776202358,124564042685.96938,358930.7423481002
current fortification 2 + vas,Hauts Bassins,2025,264971.79955161473,8935.543984465556,126808150725.3549,365397.1298152814
current fortification 2 + vas,Hauts Bassins,2026,270118.26232519414,9109.096206081409,129271105002.7491,372494.1217568741
current fortification 2 + vas,Hauts Bassins,2027,275108.5773416514,9277.382715820748,131659331296.43303,379375.7853413507
current fortification 2 + vas,Hauts Bassins,2028,280024.79188229574,9443.17036318297,134012095158.56157,386155.26408492797
current fortification 2 + vas,Hauts Bassins,2029,284922.53358560195,9608.335058024088,136356018433.33154,392909.2687148286
current fortification 2 + vas,Hauts Bassins,2030,289892.2147912966,9775.92574155117,138734369957.73944,399762.4781949719
current fortification 2 + vas,Nord,2020,139922.2560452715,141.14190265868282,79404637115.23409,250490.97501304146
current fortification 2 + vas,Nord,2021,142728.37164529267,143.97247805148564,80997082786.28578,255514.52632300023
current fortification 2 + vas,Nord,2022,145358.84310544463,146.62587828436273,82489851968.53629,260223.63679206138
current fortification 2 + vas,Nord,2023,147891.35840500426,149.18046851178457,83927031899.97798,264757.3846356988
current fortification 2 + vas,Nord,2024,150454.1752400494,151.765624401116,85381407683.58264,269345.3787542513
current fortification 2 + vas,Nord,2025,153164.7120605868,154.49978789225702,86919613246.48192,274197.823463015
current fortification 2 + vas,Nord,2026,156139.58142472184,157.50058800856726,88607825179.31367,279523.4803572085
current fortification 2 + vas,Nord,2027,159024.19089592106,160.41034147238068,90244815424.8514,284687.55260271864
current fortification 2 + vas,Nord,2028,161865.96721257086,163.27688842208514,91857498235.74916,289774.9442761081
current fortification 2 + vas,Nord,2029,164697.06546152962,166.1326642276326,93464121338.10545,294843.2199084703
current fortification 2 + vas,Nord,2030,167569.74773259094,169.03038652665182,95094343003.53648,299985.93989683304
current fortification 2 + vas,Plateau Central,2020,113897.02888893237,3731.5760217411603,35284533672.83229,145596.89397233803
current fortification 2 + vas,Plateau Central,2021,116181.21325384059,3806.4121056010777,35992158629.556625,148516.8134121605
current fortification 2 + vas,Plateau Central,2022,118322.42289665471,3876.563949232027,36655490978.78008,151253.9653499987
current fortification 2 + vas,Plateau Central,2023,120383.89600599532,3944.1034074542526,37294121486.10525,153889.1884515616
current fortification 2 + vas,Plateau Central,2024,122470.03463288926,4012.450975025454,37940393204.91026,156555.94198705256
current fortification 2 + vas,Plateau Central,2025,124676.41765785546,4084.7380756729117,38623915829.67954,159376.40638794252
