"intervention","space","time","costs"
"oilvasflour","South","5",1863175.19
"oilvasflour","South","6",1863526.45
"oilvasflour","South","7",1849388.57
"oilvasflour","South","8",1858382.37
"oilvasflour","South","9",1890517.21
"oilvasflour","South","10",1908193.11
"oilvasflour","Cities","1",1048977.91
"oilvasflour","Cities","2",1058374.66
"oilvasflour","Cities","3",1091953.17
"oilvasflour","Cities","4",1077590.27
"oilvasflour","Cities","5",1120231.23
"oilvasflour","Cities","6",1121451.41
"oilvasflour","Cities","7",1107568.05
"oilvasflour","Cities","8",1117909.39
"oilvasflour","Cities","9",1152486.16
"oilvasflour","Cities","10",1171993.73
"maxoilflour","North","1",366755.34
"maxoilflour","North","2",372509.71
"maxoilflour","North","3",432090.41
"maxoilflour","North","4",404010.02
"maxoilflour","North","5",457634.30
"maxoilflour","North","6",451684.12
"maxoilflour","North","7",423922.17
"maxoilflour","North","8",430786.25
"maxoilflour","North","9",472280.98
"maxoilflour","North","10",491979.77
"maxoilflour","South","1",468729.57
"maxoilflour","South","2",476741.29
"maxoilflour","South","3",540089.11
"maxoilflour","South","4",509351.10
"maxoilflour","South","5",571937.48
"maxoilflour","South","6",566515.05
"maxoilflour","South","7",536208.58
"maxoilflour","South","8",545468.87
"maxoilflour","South","9",594302.51
"maxoilflour","South","10",618274.45
"maxoilflour","Cities","1",549096.74
"maxoilflour","Cities","2",558050.29
"maxoilflour","Cities","3",640667.35
"maxoilflour","Cities","4",601276.00
"maxoilflour","Cities","5",678500.48
"maxoilflour","Cities","6",670714.85
"maxoilflour","Cities","7",631812.90
"maxoilflour","Cities","8",642340.57
"maxoilflour","Cities","9",702305.11
"maxoilflour","Cities","10",731178.14
"maxoilcubeflour","North","1",436334.15
"maxoilcubeflour","North","2",426468.15
"maxoilcubeflour","North","3",531433.76
"maxoilcubeflour","North","4",546257.60
"maxoilcubeflour","North","5",601539.83
"maxoilcubeflour","North","6",619760.11
"maxoilcubeflour","North","7",571178.14
"maxoilcubeflour","North","8",610440.39
"maxoilcubeflour","North","9",645428.89
"maxoilcubeflour","North","10",644334.08
"maxoilcubeflour","South","1",545278.78
"maxoilcubeflour","South","2",536105.29
"maxoilcubeflour","South","3",649384.68
"maxoilcubeflour","South","4",665849.05
"maxoilcubeflour","South","5",730259.47
"maxoilcubeflour","South","6",751428.89
"maxoilcubeflour","South","7",698216.64
"maxoilcubeflour","South","8",743120.75
"maxoilcubeflour","South","9",784796.37
"maxoilcubeflour","South","10",785891.60
"maxoilcubeflour","Cities","1",593400.40
"maxoilcubeflour","Cities","2",592407.83
"maxoilcubeflour","Cities","3",703923.31
"maxoilcubeflour","Cities","4",691850.83
"maxoilcubeflour","Cities","5",770130.99
"maxoilcubeflour","Cities","6",777735.67
"maxoilcubeflour","Cities","7",725576.76
"maxoilcubeflour","Cities","8",756733.66
"maxoilcubeflour","Cities","9",812555.43
"maxoilcubeflour","Cities","10",828188.32
"oilflour","North","1",314431.70
"oilflour","North","2",320186.07
"oilflour","North","3",340573.39
"oilflour","North","4",331966.62
"oilflour","North","5",357842.84
"oilflour","North","6",358666.43
"oilflour","North","7",350354.38
"oilflour","North","8",356693.65
"oilflour","North","9",377688.60
"oilflour","North","10",389562.88
"oilflour","South","1",425724.63
