"intervention","space","time","lives_saved"
"oilcubevasflour","North","3",1659.45
"oilcubevasflour","North","4",1954.83
"oilcubevasflour","North","5",1983.28
"oilcubevasflour","North","6",2014.51
"oilcubevasflour","North","7",2048.59
"oilcubevasflour","North","8",2085.58
"oilcubevasflour","North","9",2127.35
"oilcubevasflour","North","10",2172.81
"oilcubevasflour","South","1",1053.55
"oilcubevasflour","South","2",1060.15
"oilcubevasflour","South","3",1065.75
"oilcubevasflour","South","4",1275.27
"oilcubevasflour","South","5",1280.12
"oilcubevasflour","South","6",1285.97
"oilcubevasflour","South","7",1290.82
"oilcubevasflour","South","8",1294.67
"oilcubevasflour","South","9",1297.60
